Log file created at Sun Feb  2 13:14:18 2025
MENU: Menu principal.
MENU: menu.wav chargee avec succes.
MENU: Width = %d, Height = %d
MENU: Jouer sélectionné
JEU: Fonction jeu.
JEU: Entré dans while jeu()
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: D pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: S pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: Z pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: D pressee
MOUVEMENT: Q pressee
JEU: Sortie while jeu()
